HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459009.307,2020-06-08.8012128,bo,1.41,15.962,15.962,99.99,0.906,0.299,g
2459009.308,2020-06-08.8024335,bo,1.46,16.047,16.02,0.214,1.418,0.277,g
2459009.309,2020-06-08.8036391,bo,1.49,15.939,15.939,99.99,1.028,0.306,g
2459016.291,2020-06-15.7854083,bo,1.51,17.097,16.068,0.085,1.358,0.105,g
2459016.292,2020-06-15.7866278,bo,1.4,17.131,16.562,0.13,0.861,0.102,g
2459016.294,2020-06-15.7878409,bo,1.46,17.235,16.257,0.089,1.14,0.093,g
2459017.27,2020-06-16.7642096,bo,1.43,17.103,16.395,0.114,1.004,0.105,g
2459017.271,2020-06-16.7654278,bo,1.42,17.155,16.498,0.12,0.914,0.1,g
2459017.272,2020-06-16.7666451,bo,1.41,17.077,16.538,0.133,0.881,0.107,g
2459018.499,2020-06-17.9932550,bo,1.51,17.224,16.077,0.076,1.346,0.094,g
2459018.5,2020-06-17.9944862,bo,1.49,99.99,99.99,99.99,99.99,99.99,g
2459018.502,2020-06-17.9957456,bo,1.51,99.99,99.99,99.99,99.99,99.99,g
2459022.367,2020-06-21.8615848,bo,1.64,17.218,16.222,0.087,1.179,0.094,g
2459022.369,2020-06-21.8628067,bo,1.64,17.108,16.287,0.103,1.109,0.104,g
2459022.37,2020-06-21.8640344,bo,1.62,17.127,16.209,0.094,1.192,0.102,g
2459029.505,2020-06-28.9989381,bo,1.56,17.047,16.156,0.096,1.252,0.11,g
2459029.506,2020-06-29.0001550,bo,1.44,17.209,16.38,0.102,1.019,0.095,g
2459029.507,2020-06-29.0013848,bo,1.48,17.216,16.2,0.086,1.203,0.094,g
2459036.366,2020-07-05.8604364,bo,1.45,15.787,15.787,99.99,0.533,0.352,g
2459036.367,2020-07-05.8616537,bo,1.43,15.941,15.941,99.99,0.405,0.305,g
2459036.368,2020-07-05.8628778,bo,1.48,15.832,15.832,99.99,1.001,0.337,g
2459049.214,2020-07-18.7088767,bo,1.57,16.987,16.159,0.102,1.249,0.117,g
2459049.215,2020-07-18.7100962,bo,1.57,16.836,16.259,0.129,1.139,0.134,g
2459049.216,2020-07-18.7113230,bo,1.53,17.083,16.117,0.09,1.298,0.107,g
2459050.395,2020-07-19.8903348,bo,1.42,17.351,16.292,0.083,1.105,0.083,g
2459050.397,2020-07-19.8915532,bo,1.5,17.248,16.49,0.109,0.92,0.092,g
2459050.398,2020-07-19.8928028,bo,1.4,17.214,16.135,0.081,1.277,0.095,g
2459052.546,2020-07-22.0407387,bo,1.49,17.04,16.298,0.111,1.099,0.111,g
2459052.547,2020-07-22.0419535,bo,1.46,16.983,16.175,0.104,1.23,0.117,g
2459052.548,2020-07-22.0431601,bo,1.45,16.958,16.141,0.103,1.269,0.12,g
2459058.303,2020-07-27.7984578,bo,1.47,16.733,16.682,0.209,0.771,0.147,g
2459058.304,2020-07-27.7996738,bo,1.52,16.669,16.014,0.12,1.427,0.156,g
2459058.305,2020-07-27.8008909,bo,1.44,16.785,16.34,0.146,1.057,0.14,g
2459060.214,2020-07-29.7094168,bo,1.55,16.164,16.164,99.99,0.751,0.249,g
2459060.215,2020-07-29.7106295,bo,1.51,16.209,16.209,99.99,0.827,0.238,g
2459060.216,2020-07-29.7118489,bo,1.45,16.401,15.827,0.129,1.696,0.2,g
2459063.398,2020-08-01.8935690,bo,1.54,15.756,15.756,99.99,-0.074,0.362,g
2459063.399,2020-08-01.8947828,bo,1.48,15.8,15.705,0.201,1.897,0.348,g
2459063.4,2020-08-01.8960974,bo,1.46,15.693,15.693,99.99,0.867,0.384,g
2459072.486,2020-08-10.9822084,bo,2.27,16.607,15.988,0.124,1.462,0.165,g
2459072.487,2020-08-10.9834313,bo,2.24,16.594,16.176,0.149,1.229,0.167,g
2459072.488,2020-08-10.9846978,bo,2.28,16.534,16.276,0.173,1.121,0.177,g
2459075.354,2020-08-13.8502511,bo,1.43,17.179,16.675,0.138,0.776,0.098,g
2459075.355,2020-08-13.8514704,bo,1.94,17.15,16.341,0.104,1.056,0.1,g
2459075.356,2020-08-13.8526983,bo,1.5,17.165,15.98,0.073,1.473,0.099,g
2459083.434,2020-08-21.9313526,bo,1.55,16.726,16.372,0.158,1.027,0.148,g
2459083.435,2020-08-21.9325593,bo,1.59,16.851,16.267,0.128,1.131,0.132,g
2459083.437,2020-08-21.9337789,bo,1.6,16.826,16.406,0.149,0.995,0.135,g
2459096.304,2020-09-03.8020452,bo,1.44,16.3,16.3,99.99,1.079,0.219,g
2459096.305,2020-09-03.8032951,bo,1.52,16.461,16.451,0.218,0.954,0.189,g
2459096.306,2020-09-03.8045076,bo,1.54,16.224,16.224,99.99,0.804,0.235,g
2459101.414,2020-09-08.9132792,bo,1.42,17.003,16.273,0.112,1.125,0.115,g
2459101.416,2020-09-08.9144940,bo,1.4,16.985,16.373,0.125,1.026,0.117,g
2459102.402,2020-09-09.9011231,bo,1.48,16.84,16.629,0.181,0.81,0.133,g
2459102.403,2020-09-09.9023283,bo,1.51,16.808,16.516,0.167,0.899,0.137,g
2459102.405,2020-09-09.9035487,bo,1.47,16.979,16.247,0.112,1.152,0.117,g
2459112.245,2020-09-19.7453896,bo,1.42,17.081,16.387,0.116,1.012,0.107,g
2459112.247,2020-09-19.7466185,bo,1.42,17.031,16.327,0.115,1.069,0.112,g
2459112.248,2020-09-19.7478462,bo,1.47,16.979,16.344,0.122,1.053,0.117,g
2459119.272,2020-09-26.7730974,bo,1.49,15.374,15.374,99.99,0.149,0.515,g
2459119.274,2020-09-26.7744596,bo,1.53,15.504,15.504,99.99,-0.049,0.457,g
2459119.275,2020-09-26.7756792,bo,1.46,16.003,16.003,99.99,0.853,0.288,g
2459120.277,2020-09-27.7774106,bo,1.39,16.385,16.165,0.179,1.241,0.203,g
2459120.278,2020-09-27.7786384,bo,1.44,16.205,16.205,99.99,0.995,0.239,g
2459120.279,2020-09-27.7798512,bo,1.44,16.287,16.287,99.99,1.102,0.222,g
2459127.33,2020-10-04.8310690,bo,1.51,16.216,16.094,0.196,1.326,0.237,g
2459127.331,2020-10-04.8322814,bo,1.56,16.166,16.166,99.99,0.697,0.248,g
2459127.332,2020-10-04.8335023,bo,1.48,16.043,16.043,99.99,0.856,0.278,g
2459130.28,2020-10-07.7822086,bo,1.48,16.854,16.137,0.113,1.275,0.132,g
2459130.282,2020-10-07.7835052,bo,1.45,16.929,16.161,0.108,1.246,0.123,g
2459130.283,2020-10-07.7847377,bo,1.42,16.891,16.187,0.115,1.216,0.127,g
2459134.282,2020-10-11.7837795,bo,1.49,99.99,99.99,99.99,99.99,99.99,g
2459134.283,2020-10-11.7849850,bo,1.5,99.99,99.99,99.99,99.99,99.99,g
2459134.284,2020-10-11.7861986,bo,1.42,99.99,99.99,99.99,99.99,99.99,g
2459138.279,2020-10-15.7818229,bo,1.54,16.92,16.39,0.135,1.009,0.124,g
2459138.281,2020-10-15.7830449,bo,1.52,17.059,16.141,0.094,1.269,0.109,g
2459138.282,2020-10-15.7842611,bo,1.51,16.889,16.574,0.164,0.852,0.128,g
2459142.236,2020-10-19.7391674,bo,2.13,15.47,15.47,99.99,2.261,0.471,g
2459144.712,2020-10-22.2148288,bl,1.47,99.99,99.99,99.99,99.99,99.99,g
2459145.516,2020-10-23.0187534,bk,1.54,16.324,16.189,0.194,1.214,0.215,g
2459145.517,2020-10-23.0199673,bk,1.56,16.232,16.13,0.2,1.282,0.233,g
2459145.518,2020-10-23.0211833,bk,1.46,16.14,16.14,99.99,0.719,0.254,g
2459148.495,2020-10-25.9983770,bG,1.54,15.837,15.837,99.99,0.818,0.336,g
2459148.496,2020-10-25.9996663,bG,1.47,15.882,15.882,99.99,1.376,0.322,g
2459148.498,2020-10-26.0009641,bG,1.52,15.976,15.976,99.99,1.367,0.296,g
2459150.504,2020-10-28.0069718,bk,1.5,15.995,15.91,0.203,1.57,0.29,g
2459150.505,2020-10-28.0082002,bk,1.52,16.056,16.056,99.99,0.937,0.275,g
2459150.506,2020-10-28.0094162,bk,1.54,16.242,16.242,99.99,1.067,0.231,g
2459245.874,2021-01-31.3778454,bG,1.48,15.544,15.544,99.99,1.506,0.44,g
2459245.875,2021-01-31.3791525,bG,1.57,15.602,15.602,99.99,1.248,0.417,g
2459245.876,2021-01-31.3804583,bG,1.94,15.288,15.288,99.99,1.71,0.557,g
