Image ID,Observation Date,MJD,Filter,Detection ID,Distance [arcsec],RA [deg],DEC [deg],Mag_Opt,Magerr_Opt,Flux [μJy],Fluxerr [μJy],Zero-point stdev
14961,2020-05-23 22:16:42.466000,58992.92826928695,i,926262891,0.22508998829134103,266.67080347547716,-32.23399673341392,13.190801620483398,0.0026589613407850266,19217.89453125,47.064504626264856,0.01690977803895825
14993,2020-05-30 21:54:14.127000,58999.91266350378,q,931868734,0.30000023418021066,266.6708252205115,-32.23398734762629,15.720927238464355,0.0051084281876683235,1869.197509765625,8.79464170314153,0.02589806356387998
14962,2020-05-30 21:56:20.122000,58999.91412177843,i,926509001,0.20086808912119508,266.67080115715777,-32.23399799634888,13.189188003540039,0.00264616496860981,19246.46484375,46.9076368111783,0.01979081188935274
14994,2020-06-01 21:38:50.068000,59001.90196837696,q,932045653,0.27220758981479243,266.6708218758767,-32.23399950324762,15.702951431274414,0.006904630921781063,1900.4036865234375,12.085427152890498,0.04280647327992968
14963,2020-06-01 21:40:57.083000,59001.90343846509,i,926754838,0.24843568858946086,266.67081199139903,-32.23397795083304,13.247068405151367,0.0050683217123150826,18247.3203125,85.18025202192698,0.07442989964451646
14995,2020-06-04 21:40:40.202000,59004.90324307863,q,932183390,0.27160728632823394,266.6708207132238,-32.23398983531769,15.75335693359375,0.012609973549842834,1814.1922607421875,21.070418622184228,0.04345995490017149
14964,2020-06-04 21:42:44.211000,59004.90467836868,i,926877699,0.13116029161495782,266.67078965079014,-32.23400668949012,13.183761596679688,0.0033806227147579193,19342.896484375,60.227370609338244,0.02753161039403665
14996,2020-06-04 21:46:49.270000,59004.90751470064,q,932254357,0.27081375185926176,266.6708239348751,-32.23399422141666,15.685128211975098,0.012576950713992119,1931.857421875,22.37824834596651,0.04079797028010767
14965,2020-06-04 21:48:57.271000,59004.90899619494,i,927043200,0.13430621481204244,266.67079226340064,-32.234002464133525,13.203725814819336,0.0034040561877191067,18990.478515625,59.539929978491294,0.02533663252868909
14997,2020-06-04 21:53:09.331000,59004.91191355219,q,932310721,0.21589397240365285,266.67080977898195,-32.2340040844199,15.726357460021973,0.011013823561370373,1859.87255859375,18.86674517260276,0.03047900065780687
